,mass,atom_types,Cv_molar_250.00,Cv_gravimetric_250.00,Cv_molar_275.00,Cv_gravimetric_275.00,Cv_molar_300.00,Cv_gravimetric_300.00,Cv_molar_325.00,Cv_gravimetric_325.00,Cv_molar_350.00,Cv_gravimetric_350.00,Cv_molar_375.00,Cv_gravimetric_375.00,Cv_molar_400.00,Cv_gravimetric_400.00,structure_type
12022N2,2283.0963200000047,"{1.0, 5.0, 6.0, 7.0, 8.0, 30.0}",8.286130960157925,0.7911959445120668,9.069602634885728,0.8660052390628374,9.830722866599457,0.9386803202935727,10.564778820907469,1.0087711862098852,11.26821332946147,1.0759381828544998,11.938615000649035,1.1399510600330187,12.57462684322942,1.2006802462999058,COF
13180N3,872.8378800000005,"{8.0, 1.0, 6.0, 7.0}",7.477927051882217,0.8396024827479496,8.240733831247388,0.9252484727888339,8.987791601472548,1.0091262044496845,9.713325326023002,1.0905872714303528,10.412548238458523,1.1690942278638672,11.081901539258714,1.2442475008616187,11.719076440097146,1.3157878655879596,COF
13181N3,904.9874800000007,"{1.0, 6.0, 7.0, 8.0, 14.0}",8.020888851731144,0.8685723557961835,8.757656434376088,0.9483560265042075,9.478630470959173,1.0264294332049746,10.178461666024198,1.1022133071612998,10.852673916528945,1.1752229365867424,11.497929794442468,1.2450969154350744,12.112071397579767,1.3116015670877748,COF
16050N2,2029.4295999999997,"{1.0, 5.0, 6.0, 7.0, 8.0, 28.0}",7.862488948308091,0.736104814958123,8.673618726387323,0.8120447036022297,9.46140953159038,0.8857995423946573,10.220992980456334,0.9569135417590754,10.948731313240275,1.0250461260226285,11.642146291178458,1.0899652766096972,12.29981443017938,1.1515377235722206,COF
18150N2,1672.4542799999997,"{1.0, 6.0, 7.0, 8.0, 17.0}",9.720575852109393,0.7555811096816478,10.451998844400427,0.8124346752080157,11.151412556536181,0.8668001569224983,11.819037124539493,0.9186946660151059,12.454744525918775,0.968108251287707,13.058391425718966,1.0150297713032046,13.630033816549227,1.059463578371422,COF
19000N3,1490.0233600000013,"{16.0, 1.0, 6.0, 7.0}",7.225196697760504,0.8146402786757407,7.9482779467576155,0.8961676245500462,8.662418937606704,0.9766869571212125,9.360840447581545,1.0554339196357956,10.037843073009268,1.1317659048416233,10.689098215051391,1.2051948636084686,11.31167301002867,1.2753901158199392,COF
20560N3,1327.0313760000008,"{1.0, 5.0, 6.0, 8.0, 15.0}",7.999026455119307,0.7233311826489296,8.838402987605523,0.7992338219685486,9.64766241137873,0.8724130493847849,10.42190504135227,0.9424257991035411,11.157587846097165,1.0089516839967008,11.852612858672304,1.0718009903638297,12.506199853572578,1.1309031644393528,COF
20561N3,1614.8787872000003,"{1.0, 5.0, 6.0, 8.0, 9.0, 15.0}",9.284241040817474,0.6899025076859321,10.228877800918893,0.7600975044316112,11.116353305886275,0.8260449064534922,11.947126554553588,0.887778821488027,12.72235266282159,0.9453850850228016,13.443794416416731,0.9989946878720183,14.11372030670568,1.048776199321594,COF
21000N2,2952.992880000001,"{1.0, 35.0, 6.0, 7.0}",7.533014454672851,0.6122342797932799,8.228053751433793,0.6687225403483226,8.905362628918942,0.7237697880736323,9.560819481964007,0.7770410457851699,10.191177624364004,0.8282724440051342,10.794125478049457,0.8772761127456117,11.368242005564806,0.9239365593511192,COF
AFI,1442.0231999999992,"{8.0, 14.0}",12.947415280506208,0.6464624842349607,13.895679251338878,0.6938091606961662,14.762337969162047,0.7370812992326808,15.552919266018352,0.7765549036612739,16.272611777824753,0.8124890417875267,16.926591368440782,0.845142143710127,17.520065133463383,0.8747741989236819,zeo
AFR,1922.6975999999966,"{8.0, 14.0}",12.838958648980293,0.6410472610472444,13.810310376744619,0.6895467057157016,14.695705880290644,0.7337543691259116,15.50165312049964,0.7739951927791286,16.234131351350687,0.8105677199210468,16.89891914183857,0.8437604736264848,17.50167006025099,0.8738557357038872,zeo
ITT,2763.877800000003,"{8.0, 14.0}",13.34833438933898,0.6664803146249003,14.267343423648207,0.7123662965357768,15.10892156792874,0.7543861658334402,15.877994019824424,0.7927858368903894,16.579224871855946,0.827798187139865,17.21733708010163,0.859659033063626,17.79714849379414,0.8886089291442584,zeo
LTA,1442.0231999999992,"{8.0, 14.0}",12.423919309562718,0.6203244096825323,13.353109274595518,0.6667187239226648,14.201514150049395,0.7090794508739922,14.975188822569944,0.7477089101097933,15.679607070898738,0.7828804065737013,16.32003803352343,0.8148570275524609,16.901651931363702,0.8438969213936276,zeo
LTL,2163.0347999999967,"{8.0, 14.0}",13.199268614538141,0.6590374830632043,14.125732265072397,0.7052956728332902,14.973619229043853,0.7476305405427313,15.748167323745955,0.7863036096157888,16.4542744187588,0.8215594299388771,17.096820176291892,0.8536416423071544,17.68072117686714,0.8827957308415261,zeo
NPT,2163.0347999999967,"{8.0, 14.0}",12.082005644830552,0.6032527121809144,13.002997805347052,0.649237711283001,13.850952282157456,0.6915759498982668,14.628333042186236,0.7303904535221143,15.338306345008508,0.7658393130156397,15.984757917912745,0.7981165421539121,16.572091265200125,0.8274420072398355,zeo
RWY,1442.0231999999992,"{8.0, 14.0}",12.053476450426912,0.6018282538247222,13.08650889253686,0.6534074072196997,14.03843564695163,0.7009369659104776,14.908472484090858,0.74437777343287,15.698864788450988,0.7838419414947497,16.413913465761045,0.8195442136678495,17.059102821313964,0.8517584204849173,zeo
SAS,961.3488000000001,"{8.0, 14.0}",12.100877668444975,0.6041949894620545,13.139190325289483,0.6560377831791074,14.08815819737874,0.7034196053234576,14.952110412719472,0.7465566086008893,15.736339451092185,0.785713045725365,16.446731233062337,0.8211827998193706,17.08942165283449,0.8532722351513367,zeo
VFI,2163.0347999999967,"{8.0, 14.0}",13.296316255142274,0.6638830570619426,14.175937020886696,0.707802388688229,14.98015539062178,0.7479568901004989,15.71515448609724,0.7846552836313612,16.386135651764985,0.818157271621622,16.997894098102346,0.8487022782042416,17.555047865967705,0.8765208814599355,zeo
RSM0004,287.01631999999995,"{8.0, 1.0, 6.0, 63.0}",8.723064946559855,0.39509894177891397,9.256341057457506,0.4192529321919659,9.775196331720172,0.44275375111896864,10.280739514641697,0.4656516176165246,10.77267924098379,0.4879333347065048,11.250046243867073,0.5095550008106576,11.71168572807217,0.5304643111058571,MOF
RSM0009,367.98446999999976,"{8.0, 1.0, 27.0, 6.0}",10.43130693620321,0.6236370589130318,11.165003138072153,0.6675011829645625,11.858260267495485,0.7089476517443816,12.513574205964762,0.7481256818561527,13.132582347015415,0.7851331650880248,13.71647956216899,0.8200415369912702,14.266309317598758,0.8529131813284753,MOF
RSM0010,380.87807999999967,"{8.0, 1.0, 30.0, 6.0}",10.32373459841092,0.5963119777463709,11.071841445277737,0.6395235761430809,11.77703121787946,0.68025623000764,12.441849250322116,0.7186569610597879,13.068169391537166,0.7548340051856434,13.65752525681345,0.7888759459454747,14.211328113690774,0.8208642999387029,MOF
RSM0011,367.5048799999998,"{8.0, 1.0, 28.0, 6.0}",10.248127186495921,0.61348518175571,10.997600788220446,0.6583510328919985,11.705219418718412,0.7007113135798503,12.373381806844225,0.7407096192860708,13.003756910748088,0.7784458591038522,13.59765167789753,0.8139982710263489,14.156258364967254,0.8474382272945049,MOF
RSM0012,345.9789499999998,"{8.0, 1.0, 27.0, 6.0}",9.967802236676356,0.6338294546731237,10.70608580530259,0.6807751966316364,11.399281833970525,0.7248539263656117,12.04998608964005,0.7662307026831582,12.660554847565395,0.8050553556695829,13.23318347572828,0.8414674836894623,13.769969182806959,0.8756004433846429,MOF
RSM0015,387.9710299999998,"{8.0, 1.0, 27.0, 6.0}",11.646774602900752,0.7805122451421688,12.184852872165017,0.8165717287610124,12.698203171335052,0.8509740597247983,13.191418202244733,0.8840270193843165,13.66604949187491,0.915834583805775,14.122158343468218,0.9464008612451653,14.55925067281859,0.9756927404947826,MOF
RSM0019,397.5739199999997,"{8.0, 1.0, 28.0, 6.0}",9.068741723904798,0.6843060825447106,9.799752381453155,0.7394664404636876,10.492022639884611,0.7917035382917937,11.147342050270204,0.8411524113757421,11.76710185940376,0.8879180399511947,12.35256443199346,0.932095679112463,12.905013495059032,0.9737821959040253,MOF
RSM0020,391.33752,"{1.0, 29.0, 6.0, 7.0}",7.857852061268782,0.6023842585757263,8.583810645745977,0.6580363655710276,9.297023551840551,0.7127113867211521,9.991409878114103,0.7659431591006738,10.661689298946733,0.8173268920608533,11.303811184238056,0.8665520636179779,11.915051397168986,0.9134098409860358,MOF
RSM0021,398.05350999999973,"{8.0, 1.0, 27.0, 6.0}",9.188742876901294,0.6925257016501098,9.900609543347867,0.7461767798516241,10.577360561013535,0.797181305675225,11.219925135994874,0.8456093103659517,11.829088323782804,0.8915199610059571,12.405674009413836,0.9349753511341109,12.950639330600616,0.976047617110621,MOF
RSM0022,646.0968400000002,"{8.0, 1.0, 6.0, 63.0}",10.86062283028747,0.537906872550559,11.521067239966722,0.570617481551117,12.152863159497254,0.6019091830009756,12.755860624702558,0.6317745494475437,13.329550226214963,0.6601883507724302,13.873531863926374,0.687130770745828,14.387731382591463,0.7125981365934659,MOF
RSM0023,526.4135200000003,"{1.0, 29.0, 6.0, 7.0}",9.789637632457904,0.5950994652239417,10.469358118260935,0.6364187982564539,11.135061293798595,0.6768860370485067,11.781006976129877,0.7161522432709476,12.402191427926967,0.7539132461751034,12.994861452416028,0.7899408937622132,13.556619999557748,0.8240894724471509,MOF
RSM0025,391.37863999999985,"{1.0, 6.0, 7.0, 48.0, 28.0}",8.462476300534776,0.7351555879957642,9.01141691673485,0.7828433743062345,9.542384830026277,0.8289698288616199,10.057533069810606,0.8737219904835909,10.557080444083823,0.9171188675469109,11.040417076671673,0.9591074786473708,11.50676396857019,0.9996201502754127,MOF
RSM0030,553.0519199999997,"{48.0, 1.0, 6.0, 8.0}",9.08459864197745,0.5584943160982672,9.802688778915227,0.6026403786521851,10.497142480933478,0.6453333429377454,11.16530382021263,0.6864099303501734,11.804824389506798,0.72572576774208,12.413968719844691,0.7631741636024332,12.99172379719866,0.7986928408181906,MOF
RSM0040,467.0003200000002,"{1.0, 7.0, 30.0, 6.0}",9.533778294772066,0.6941075801024079,10.225527438581047,0.74447043828954,10.892908208258913,0.7930591548219985,11.534050253555318,0.8397375586827877,12.147090016558847,0.884369973371754,12.730543741952575,0.9268483739505518,13.283478218022875,0.9671048178570361,MOF
RSM0043,420.18980359999966,"{1.0, 6.0, 8.0, 9.0, 13.0}",8.74925357968042,0.7495972681153737,9.557746011062344,0.8188653162221681,10.32527358077957,0.8846236765466928,11.051811179208322,0.9468701978076746,11.737635798666785,1.005628611479245,12.383362564344258,1.0609516187612547,12.989962233454825,1.1129223898291998,MOF
RSM0044,614.32352,"{8.0, 1.0, 29.0, 6.0}",11.925957330382037,0.6988735575251185,12.483336894572476,0.7315365822304982,13.009130543568668,0.7623486393105575,13.509831196952733,0.791690220635372,13.9884683481069,0.8197388576817772,14.446224006841353,0.8465638174593879,14.883433068998597,0.8721847252144106,MOF
RSM0047,725.9052800000006,"{48.0, 1.0, 6.0, 7.0}",14.56733816930811,0.7224416029803387,14.928273144341782,0.7403415404228824,15.2408174261192,0.7558416262522443,15.517912934653058,0.7695836923069489,15.768740388530185,0.782023040233412,15.99975024976731,0.7934795693890292,16.21542806030383,0.804175732364059,MOF
RSM0052,715.7097880000003,"{1.0, 6.0, 8.0, 15.0, 25.0}",12.681844303965171,0.6378931832391622,13.477851574576102,0.6779321239138055,14.208112121508217,0.7146640229744847,14.877962305266786,0.7483572978459868,15.492201518554115,0.7792533566244142,16.055357874931417,0.8075799621417651,16.571758816017496,0.833554783488066,MOF
RSM0055,367.266125,"{25.0, 7.0, 1.0, 6.0}",7.714986455385949,0.7772415679482558,8.438567677587493,0.8501383133844355,9.141935771668143,0.9209986996533408,9.821443280552177,0.9894552659340161,10.474073060407074,1.0552040519257304,11.097642311436267,1.118025152804773,11.690843416338065,1.1777868334698944,MOF
RSM0056,473.93459999999965,"{8.0, 1.0, 26.0, 6.0}",8.371051141821306,0.6711895341450274,9.121506264852016,0.7313609052058593,9.836104476190641,0.7886572748544729,10.51342518133583,0.842964740052239,11.152850673126617,0.8942337731383438,11.754471499525655,0.9424716342338695,12.318978450652345,0.987733710779482,MOF
RSM0059,503.37791999999985,"{1.0, 6.0, 7.0, 8.0, 29.0}",8.569304343866612,0.6468967988642239,9.322339639030567,0.7037434345216446,10.053172153698798,0.7589139822433102,10.75862430338284,0.8121685661710153,11.435623065190379,0.8632752038016179,12.081717395844668,0.9120488658741678,12.69529016202162,0.9583674749913975,MOF
RSM0060,575.3397727999999,"{1.0, 6.0, 7.0, 8.0, 9.0, 29.0}",9.601014564771697,0.6341271205461229,10.404761321078245,0.687212928591356,11.170222238973578,0.7377700363304277,11.897578358679347,0.7858104010948976,12.58671407685511,0.8313263875236373,13.237599997753856,0.8743160540884592,13.850511884503206,0.9147976143726143,MOF
RSM0061,645.4998799999998,"{48.0, 1.0, 6.0, 16.0}",9.461062417198377,0.5569642737246341,10.144171411812954,0.5971782886294142,10.80431766113386,0.6360405072779979,11.438894630387024,0.6733974853019445,12.045481570106105,0.7091067153475413,12.622306118031233,0.7430638600353993,13.1683996652512,0.7752118982261402,MOF
RSM0062,416.20767719999964,"{8.0, 1.0, 13.0, 6.0}",8.497991979034808,0.7758715489722904,9.264820197145996,0.8458834057555634,9.996806247907259,0.9127141526462841,10.692661695237172,0.9762461546901349,11.351628401452043,1.0364101934811163,11.97352242505058,1.093189475054504,12.558715620975414,1.1466179499801552,MOF
RSM0064,501.6905999999995,"{8.0, 1.0, 6.0, 31.0}",8.74794465585177,0.6626033992312544,9.504367275652289,0.7198977945267209,10.224116840445491,0.7744144298038055,10.906379593021825,0.8260916679220813,11.550776161926184,0.8749007738099845,12.157427088456487,0.9208508777348966,12.72694742972213,0.963988566517773,MOF
RSM0065,751.4660400000005,"{48.0, 1.0, 6.0, 8.0}",10.36010864407457,0.5376746461076378,11.059024705651774,0.5739473782746309,11.729821037472972,0.6087607371604519,12.371620617965153,0.6420692066146338,12.983492828177818,0.6738244888603809,13.564740032998692,0.7039903776449414,14.115046074264225,0.7325504648171519,MOF
RSM0067,673.7539328000005,"{1.0, 6.0, 7.0, 9.0, 30.0}",10.777676586260887,0.6398583258116681,11.534335829468784,0.6847803192203512,12.24049072582086,0.726703927349356,12.90021064563141,0.7658707440575789,13.516480540135626,0.802457982484113,14.091710813383092,0.8366087455591075,14.628060033477595,0.8684511850007911,MOF
RSM0068,494.10295439999965,"{8.0, 1.0, 13.0, 6.0}",10.085575383122656,0.8164756185576585,10.980041894895578,0.8888869655295941,11.80034637226663,0.9552945407174144,12.551696986033264,1.0161199704846997,13.239549154863635,1.0718048970940253,13.86925416472416,1.1227825327671563,14.445890737930819,1.1694640243932797,MOF
RSM0073,779.7073880000005,"{1.0, 6.0, 8.0, 15.0, 25.0}",13.057569918339397,0.6698702677081412,13.889912022965916,0.7125704969190779,14.639911344657998,0.7510464345969742,15.317722710503332,0.7858190365385289,15.931620632216044,0.8173127959236951,16.48855070251632,0.8458840306649146,16.994485201842004,0.8718391264925139,MOF
RSM0076,482.1268699999996,"{8.0, 1.0, 27.0, 6.0}",8.806643202794623,0.7306494411145043,9.524227284121608,0.7901843167647234,10.216925215500435,0.8476544952162027,10.882477889113607,0.9028725479758982,11.518906435371468,0.9556742967154249,12.124825287603555,1.0059447869066966,12.699537194193175,1.0536261705715084,MOF
RSM0077,606.3126399999998,"{8.0, 1.0, 28.0, 6.0}",9.924817748424026,0.6547656831580506,10.69573841300053,0.7056252967446321,11.429163131841111,0.7540112066171746,12.124960565943855,0.7999147480048484,12.783072310443012,0.8433320677888567,13.403705399646785,0.8842768245535366,13.987422060253516,0.9227861098362403,MOF
RSM0079,1009.5992080000009,"{1.0, 6.0, 8.0, 15.0, 48.0}",13.835432398245445,0.5481554378654161,14.525034788989979,0.5754772655879486,15.154504939024127,0.6004166730298828,15.728946662440507,0.6231758716847366,16.253075973229926,0.6439417085291498,16.731362381474383,0.6628912641331774,17.16805374179049,0.6801928371477278,MOF
RSM0080,662.3663200000002,"{8.0, 1.0, 29.0, 6.0}",10.57427818252992,0.6385758371609183,11.295791986994132,0.682147726774159,11.972851784480747,0.7230350591787785,12.610004933995398,0.7615124473113545,13.210147559487726,0.7977547867764606,13.775268355442401,0.8318821739271041,14.306938949961651,0.8639895186676548,MOF
RSM0081,393.30340499999994,"{25.0, 7.0, 1.0, 6.0}",7.598379285571256,0.7920947206353872,8.317534252848446,0.8670631884480795,9.018115375259422,0.940095421715549,9.696299263165809,1.0107928503436125,10.348859803371308,1.078819167452221,10.97341552355315,1.1439261159350482,11.568487672110972,1.2059595430061176,MOF
RSM0083,627.3281599999998,"{8.0, 1.0, 29.0, 6.0}",10.580817389260694,0.7083921282107746,11.344859077186944,0.7595451816507836,12.069012648344945,0.8080277015310262,12.754037309337324,0.8538905171930553,13.400630757120691,0.8971803398703945,14.009569168109232,0.9379491350437512,14.581800545606917,0.9762603721081016,MOF
RSM0084,657.1347200000001,"{1.0, 6.0, 7.0, 8.0, 48.0}",11.845277415108097,0.7570771050334092,12.493806327214852,0.7985270748485541,13.086165037615498,0.8363869916656524,13.630066621362419,0.8711498276901599,14.131954455418644,0.9032274038534791,14.597058101153603,0.9329539614775663,15.02958538947058,0.9605984391720532,MOF
RSM0085,674.3878500000003,"{1.0, 6.0, 7.0, 8.0, 16.0, 25.0}",10.524867280208499,0.6554750738299284,11.349565406529766,0.7068362027492785,12.124821842199001,0.7551181673459239,12.85251128137385,0.8004377211388097,13.534265171098763,0.8428964685323851,14.171690981365733,0.8825945206713919,14.766511105632054,0.9196391459848305,MOF
RSM0086,630.9961599999998,"{8.0, 1.0, 30.0, 6.0}",10.871374817760518,0.7236141379147885,11.60944277693917,0.7727409888381022,12.308657360199696,0.8192817039146283,12.970411440285163,0.8633289947310885,13.59567629865098,0.9049475111597214,14.185289922209988,0.944193030798824,14.740141589774034,0.981124745308291,MOF
RSM0087,700.4158400000002,"{8.0, 1.0, 29.0, 6.0}",10.545818505299417,0.6323734443563918,11.3019897827231,0.6777167844667391,12.01597304066129,0.7205303462408476,12.68950813139885,0.760918458838326,13.32391699746112,0.7989603917201057,13.92038861749616,0.8347274412509553,14.480159023780228,0.8682937253371789,MOF
RSM0088,695.2717600000002,"{1.0, 6.0, 7.0, 8.0, 16.0, 30.0}",10.651961224106273,0.6434640339950861,11.464590112648139,0.6925533473863827,12.229498896396462,0.7387599830728797,12.94806107095558,0.782166911223511,13.62159846471761,0.8228539808925067,14.251542082597373,0.860907636273174,14.839520414102397,0.8964262512147775,MOF
RSM0089,542.1888100000001,"{1.0, 6.0, 7.0, 8.0, 25.0}",11.660357536581294,0.9032554849968487,12.331685113936587,0.9552590633239675,12.943256225776219,1.0026336793682649,13.50359790046618,1.0460398690625494,14.019707347477933,1.086019662770379,14.497212819681511,1.123009046288918,14.940625428672607,1.1573574674184983,MOF
RSM0094,951.8562800000011,"{1.0, 6.0, 7.0, 8.0, 48.0}",11.664443135722873,0.5146854856075123,12.368096753274095,0.5457337147972711,13.033627560084426,0.5750998013308745,13.663331096049504,0.6028850343184986,14.258714036707776,0.6291558947761797,14.820869968117956,0.6539606364323755,15.350739876923756,0.6773407796719028,MOF
RSM0097,617.6229599999998,"{8.0, 1.0, 28.0, 6.0}",10.517373735602227,0.7152093194451412,11.287567780035928,0.7675845579987977,12.016986638802909,0.8171869757395714,12.706816755082855,0.8640972539516343,13.357966400224235,0.9083771574965704,13.97128410859448,0.9500843889627555,14.547715596752772,0.9892832595854543,MOF
RSM0098,618.1025499999998,"{8.0, 1.0, 27.0, 6.0}",10.183119654996975,0.6919418557808458,10.967867093556247,0.7452653575516919,11.71161783564849,0.7958031383258922,12.415308718227188,0.8436188560709578,13.079679599253986,0.8887627840536615,13.70551097991349,0.9312879572432871,14.29375355174439,0.9712589750248798,MOF
RSM0104,777.9798400000009,"{48.0, 1.0, 6.0, 7.0}",11.4969399398369,0.6502293907163751,11.96213609565463,0.67653936663552,12.39893536863764,0.7012433075644422,12.812938325945527,0.724657963298384,13.2072842829389,0.7469608832657039,13.583762709375055,0.7682532740340697,13.943476741978323,0.7885975254153701,MOF
RSM0108,753.7919600000004,"{1.0, 6.0, 7.0, 8.0, 30.0}",10.723020521284887,0.6259192562050342,11.465032017845083,0.6692316123737688,12.172924797856671,0.7105524064036094,12.846146311863732,0.7498493851300881,13.484189330027466,0.787092940764728,14.08686157176765,0.8222718495933232,14.654392258358625,0.8553994916154043,MOF
RSM0112,586.1980371999997,"{8.0, 1.0, 13.0, 6.0}",10.940282698576292,0.8211771588943783,11.696638047574396,0.8779491595562676,12.408139057375156,0.9313543954058588,13.07796230390292,0.981631300098336,13.708377026991222,1.0289502026800954,14.301132211107172,1.0734423818516257,14.857741858738798,1.1152214785759564,MOF
RSM0113,709.7875200000005,"{1.0, 6.0, 7.0, 8.0, 30.0}",10.314306399386712,0.639387800976009,10.978257095041018,0.6805463586930979,11.626100471469108,0.7207064175270937,12.254425079511794,0.759656500439059,12.85973374592454,0.7971798163211989,13.439124071180517,0.8330964443160994,13.990556384198312,0.8672799444328427,MOF
RSM0114,624.0638399999999,"{1.0, 6.0, 7.0, 48.0, 17.0}",8.940828038458768,0.6303785101411835,9.58675008813219,0.6759196364875368,10.219508680910188,0.720532665312011,10.836119086737138,0.7640071564095656,11.433047589507668,0.8060939629803539,12.007119462745266,0.8465692490063064,12.555956018814618,0.885265303671245,MOF
RSM0116,1005.689040000001,"{1.0, 6.0, 8.0, 48.0, 17.0}",12.067502741178371,0.5279664980855789,12.709879472098187,0.5560711855548507,13.32072725821012,0.5827964470620508,13.901092119623836,0.6081880471357709,14.451378427337778,0.6322636774512941,14.97182291172893,0.6550336952226031,15.462762909758275,0.6765128593122218,MOF
RSM0118,710.4091200000003,"{8.0, 1.0, 29.0, 6.0}",9.438680171288302,0.5845954335956233,10.134661970809633,0.6277018610285067,10.805741231070293,0.6692659212582923,11.450671104688267,0.7092103893687113,12.067817277488643,0.747434042245263,12.655757420003825,0.7838487862883406,13.213571584740448,0.8183976434995366,MOF
RSM0122,735.9689400000001,"{8.0, 1.0, 27.0, 6.0}",10.659616384885767,0.6372865693693184,11.409327179953365,0.6821081279842435,12.1184669752734,0.7245041440363359,12.788383295911302,0.7645551794890926,13.420241250546917,0.8023308905183747,14.015145510925908,0.8378973200699745,14.574246839330014,0.8713232666184534,MOF
RSM0123,863.2988800000003,"{1.0, 6.0, 7.0, 8.0, 30.0}",11.29955522685266,0.5759076508723339,11.963215120324158,0.6097325937620385,12.596932402118739,0.6420314430307431,13.199546502650588,0.672745047597682,13.769715032632568,0.7018049895255659,14.306559675926655,0.7291665034255258,14.809885880122401,0.754819673489424,MOF
RSM0129,666.8691280000002,"{1.0, 6.0, 8.0, 15.0, 30.0}",10.37912539080301,0.7159422260388973,11.16709245805234,0.7702954470407085,11.901892951433835,0.8209812881995585,12.586727677113855,0.8682205380892023,13.224229338048637,0.9121947980627425,13.816825549738207,0.9530715227350536,14.366930328830508,0.991017228685091,MOF
RSM0134,572.20489,"{1.0, 6.0, 7.0, 8.0, 25.0}",8.946771270039095,0.719237961111794,9.679445409856825,0.7781382099922529,10.38825237476718,0.8351197579581858,11.070886833564858,0.8899972776254734,11.725138593089138,0.9425930898320362,12.349251382467447,0.992766006584639,12.942090807065002,1.0404248330086625,MOF
RSM0135,1223.4003599999999,"{1.0, 6.0, 8.0, 44.0, 48.0, 19.0}",13.69967825088571,0.5151095423420855,14.38543817766956,0.5408941976875009,15.019951525328686,0.5647519755226488,15.607241136797697,0.58683413522348,16.150646881801183,0.6072662562914846,16.653165270947245,0.6261610078842655,17.11760718910019,0.6436240796092367,MOF
RSM0136,1276.1122399999992,"{1.0, 6.0, 8.0, 48.0, 17.0}",12.574967301573304,0.45328966978043583,13.02707613119926,0.469586830414828,13.465952901523798,0.48540701519334617,13.892213175454545,0.5007724133034798,14.304855628180949,0.5156469300038404,14.702431917221979,0.5299783569133475,15.083658190941188,0.5437204150500861,MOF
RSM0138,943.9318400000012,"{1.0, 6.0, 7.0, 8.0, 48.0}",10.749262528910817,0.5238366324520815,11.457533229513325,0.5583523155205913,12.140452736971428,0.5916325758231494,12.795657286919663,0.6235622216094583,13.420925926324756,0.6540330206585022,14.01459944372142,0.6829641157259664,14.575738754215442,0.7103097430148234,MOF
RSM0140,491.4946399999997,"{1.0, 29.0, 6.0, 7.0}",8.050857633701478,0.7534964189035066,8.711957913028419,0.8153701615124582,9.364337548297156,0.8764277210056033,10.002255130887182,0.9361317470742115,10.62079199988753,0.9940218920695181,11.216179144081126,1.0497454064356269,11.785847569214482,1.1030618526864637,MOF
